,name,alias_1,alias_2,muscle_group,secondary_muscle_group,tertiary_muscle_group,equipment,description,instructions
914,Landmine Split Jerk,Split Jerk Landmine,Landmine Split Press,Shoulders,Triceps,,Landmine,Explosive full-body movement that targets the shoulders and legs using a landmine setup for power and coordination.,"1. Stand holding the landmine bar at shoulder level with both hands and feet hip-width apart, 2. Dip by slightly bending your knees while keeping your torso upright, 3. Explosively drive through your legs while pressing the bar overhead and simultaneously splitting your legs into a lunge position, 4. Stand up from the split position while maintaining the bar overhead then lower the bar with control."
915,Push Up (Pike),Pike Pushup,Shoulder Push Up,Shoulders,Triceps,Chest,Bodyweight,Bodyweight pressing exercise that targets the shoulders and upper chest using a pike position for vertical pressing strength.,"1. Start in a downward dog position with your hands shoulder-width apart and hips raised high, 2. Keep your legs straight and create an inverted V-shape with your body, 3. Lower your head toward the ground by bending your elbows while maintaining the pike position, 4. Press back up to the starting position while keeping your hips elevated throughout the movement."
916,T Push Up,Pushup with Rotation,Rotational T Push Up,Chest,Triceps,Shoulders,Bodyweight,"Rotational bodyweight exercise that targets the chest, triceps, and core using a twisting push-up for dynamic strength.","1. Start in a standard push-up position with hands shoulder-width apart, 2. Perform a push-up by lowering your chest to the ground then pressing back up, 3. At the top of the push-up, rotate your body and lift one arm toward the ceiling to form a T-shape, 4. Return your raised arm to the ground and repeat the sequence alternating sides."
917,Dumbbell T Push Up,DB Rotational Push Up,Dumbbell T Rotation Pushup,Chest,Triceps,Shoulders,Dumbbell,Rotational pressing exercise that targets the chest and obliques using dumbbells for added range of motion and core engagement.,"1. Start in a push-up position while gripping dumbbells in each hand with feet hip-width apart, 2. Perform a push-up by lowering your chest toward the ground then pressing back up, 3. At the top, rotate your body and lift one dumbbell toward the ceiling while balancing on the other arm, 4. Return the dumbbell to the ground and repeat alternating the rotating side each repetition."
918,Push Up (Spiderman),Spiderman Pushup,Push Up with Knee Drive,Chest,Triceps,Obliques,Bodyweight,Dynamic bodyweight push-up that targets the chest and core using alternating knee drives for mobility and control.,"1. Start in a standard push-up position with hands shoulder-width apart and body in a straight line, 2. As you lower into the push-up, simultaneously bring one knee toward your elbow on the same side, 3. Lower your chest toward the ground while keeping your knee close to your elbow, 4. Press back up while returning your leg to the starting position then alternate sides on the next repetition."
919,Push Up (Incline & Single Arm),Incline One Arm Push Up,Single Arm Incline Press Up,Chest,Triceps,Obliques,Bodyweight,Unilateral pressing exercise that targets the chest and shoulders using an incline position for strength and stability progression.,"1. Place one hand on an elevated surface like a bench with your other hand behind your back, 2. Position your feet wider than normal and maintain a straight line from head to heels, 3. Lower your chest toward the elevated surface while resisting rotation through your torso, 4. Press back up to the starting position while maintaining stability on the single arm."
920,Ring Push Up,Pushup on Rings,Suspension Trainer Pushup,Chest,Triceps,Shoulders,Rings,Suspension-based pressing exercise that targets the chest and stabilizers using gymnastic rings for instability training.,"1. Grasp the rings with arms extended and body in a plank position with rings at chest height, 2. Keep your core engaged and maintain a straight line from head to heels, 3. Lower your chest by allowing the rings to move apart slightly while bending your elbows, 4. Press back up while bringing the rings back together and maintaining ring stability throughout."
921,Push Up (Knuckle),Fist Push Up,Knuckle Press Up,Chest,Triceps,Shoulders,Bodyweight,Bodyweight pressing exercise that targets the chest and forearms using a knuckle position for wrist protection and tension.,"1. Form fists and place your knuckles on the ground in a standard push-up position, 2. Keep your wrists straight and distribute weight evenly across your knuckles, 3. Lower your chest toward the ground by bending your elbows while maintaining proper alignment, 4. Press back up to the starting position while keeping your knuckles firmly planted and wrists neutral."
922,Push Up (Kneeling),Modified Pushup,Knee Push Up,Chest,Triceps,Shoulders,Bodyweight,Pressing exercise that targets the pectoralis major using a kneeling bodyweight position for building upper body strength with reduced load on the arms and core.,"1. Start in a kneeling position with your hands shoulder-width apart and knees on the ground, 2. Maintain a straight line from your head to your knees while engaging your core, 3. Lower your chest toward the ground by bending your elbows while keeping your body aligned, 4. Press back up to the starting position while maintaining the straight line from head to knees."
923,Ring Pull Up,Pullup on Rings,Suspension Pull Up,Lats,Upper Back,Biceps,Rings,Vertical pulling exercise that targets the lats and biceps using gymnastic rings for joint-friendly back strength.,"1. Grasp the rings with palms facing away and hang with arms fully extended, 2. Engage your lats and pull your body up while keeping the rings close to your body, 3. Continue pulling until your chin clears the rings while maintaining control of ring stability, 4. Lower yourself with control back to the fully extended starting position."
924,Pull Up (Kipping),Kipping Pullup,CrossFit Pull Up,Lats,Upper Back,Biceps,Pull Up Bar,Momentum-assisted pulling exercise that targets the lats and core using kipping motion for speed and conditioning.,"1. Hang from the bar with arms extended and initiate a hollow body to arch body swing, 2. Drive your hips forward aggressively while simultaneously pulling on the bar, 3. Use the momentum from the hip drive to assist in pulling your chin over the bar, 4. Control the descent by reversing the kipping motion and return to the hanging position."
925,Pull Up (Weighted),Weighted Pullup,Pull Up with Weight,Lats,Upper Back,Biceps,Pull Up Bar,Loaded vertical pull exercise that targets the lats and biceps using added resistance for upper-body strength.,"1. Attach additional weight to your body using a weight belt or holding a dumbbell between your feet, 2. Hang from the bar with arms fully extended and engage your lats, 3. Pull your body up while keeping the additional weight stable until your chin clears the bar, 4. Lower yourself with control back to the fully extended starting position while managing the extra weight."
926,Pull Up (Slow Negative),Eccentric Pull Up,Slow Descent Pullup,Lats,Upper Back,Biceps,Pull Up Bar,Controlled descent exercise that targets the lats and grip using slow eccentric movement for hypertrophy and control.,"1. Start at the top position of a pull-up with your chin over the bar using assistance if needed, 2. Begin lowering yourself very slowly while resisting the downward motion, 3. Control the descent for 3-5 seconds while maintaining engagement through your lats and arms, 4. Reach the bottom position with arms fully extended then assist yourself back to the top to repeat."
927,Bodyweight Squat (Pulse),Pulse Squat,,Legs,Quadriceps,,Bodyweight,Isometric strength exercise that targets the quads and glutes using small pulsing movements for muscular endurance.,"1. Stand with feet shoulder-width apart and lower into a squat position until your thighs are parallel to the ground, 2. Hold the bottom position and perform small pulsing movements by moving up and down 2-3 inches, 3. Keep your chest up and weight on your heels while maintaining the squat depth throughout the pulses, 4. Complete the desired number of pulses before returning to the standing position."
